"Timestamp","Date","Author","Reviewer","Branch","PassedReview","ReviewMinutes"
"1/23/2017 10:36:35",2017-01-23,"A1","R1",106,"yes",7
"1/23/2017 10:43:47",2017-01-23,"A1","R1",822,"yes",5
"1/24/2017 7:40:28",2017-01-24,"A1","R1",844,"no",46
"1/25/2017 8:58:19",2017-01-25,"A1","R1",844,"yes",40
"1/27/2017 17:25:44",2017-01-27,"A2","R2",856,"yes",15
"1/28/2017 6:37:02",2017-01-28,"A1","R1",856,"yes",90
"1/28/2017 8:47:23",2017-01-28,"A1","R1",64,"yes",50
"1/29/2017 7:14:34",2017-01-29,"A1","R1",829,"yes",40
"1/30/2017 11:41:24",2017-01-30,"A2","R2",733,"no",30
"1/30/2017 13:31:28",2017-01-30,"A2","R2",771,"yes",45
"1/30/2017 15:23:31",2017-01-30,"A2","R2",775,"yes",45
"1/31/2017 7:08:41",2017-01-31,"A1","R1",845,"yes",12
"1/31/2017 8:15:16",2017-01-31,"A1","R1",105,"no",70
"2/2/2017 11:05:35",2017-02-02,"A1","R1",105,"yes",12
"2/2/2017 17:34:29",2017-02-02,"A2","R2",733,"yes",30
"2/3/2017 17:12:30",2017-02-03,"A2","R2",771,"yes",30
"2/6/2017 14:17:14",2017-02-06,"A2","R2",775,"yes",15
"2/7/2017 6:50:16",2017-02-07,"A1","R1",859,"yes",10
"2/7/2017 7:56:43",2017-02-07,"A1","R1",640,"no",55
"2/8/2017 10:28:05",2017-02-08,"A1","R1",640,"no",21
"2/9/2017 7:06:33",2017-02-09,"A1","R1",870,"yes",7
"2/9/2017 7:23:51",2017-02-09,"A1","R1",878,"yes",8
"2/10/2017 17:26:09",2017-02-09,"A2","R2",673,"yes",120
"2/10/2017 17:27:19",2017-02-10,"A2","R2",669,"yes",60
"2/11/2017 6:37:19",2017-02-11,"A1","R1",897,"yes",6
"2/11/2017 7:14:44",2017-02-11,"A1","R1",640,"yes",36
"2/11/2017 7:30:05",2017-02-11,"A1","R1",871,"yes",15
"2/14/2017 10:35:38",2017-02-14,"A1","R1",895,"yes",75
"2/14/2017 15:02:19",2017-02-14,"A2","R2",671,"yes",15
"2/16/2017 7:45:13",2017-02-16,"A1","R1",612,"no",70
"2/16/2017 10:00:57",2017-02-16,"A1","R1",612,"yes",18
"2/16/2017 10:01:21",2017-02-16,"A1","R1",806,"yes",5
"2/16/2017 15:35:49",2017-02-16,"A2","R2",772,"yes",15
"2/17/2017 6:48:06",2017-02-17,"A1","R1",842,"yes",3
"2/17/2017 7:07:31",2017-02-17,"A1","R1",889,"no",16
"2/17/2017 14:52:12",2017-02-17,"A2","R2",909,"yes",30
"2/17/2017 14:52:58",2017-02-17,"A2","R2",884,"yes",15
"2/18/2017 6:51:49",2017-02-18,"A1","R1",889,"yes",10
"2/18/2017 7:37:23",2017-02-18,"A1","R1",891,"yes",45
"2/19/2017 6:31:00",2017-02-19,"A1","R1",882,"yes",39
"2/23/2017 16:02:12",2017-02-23,"A2","R2",911,"yes",15
"2/23/2017 16:39:07",2017-02-23,"A2","R1",899,"no",45
"2/25/2017 7:39:55",2017-02-25,"A1","R1",916,"no",50
"2/27/2017 14:42:07",2017-02-27,"A2","R2",899,"yes",45
"2/27/2017 14:44:05",2017-02-27,"A2","R2",915,"yes",1
"2/28/2017 6:48:24",2017-02-28,"A1","R1",916,"yes",18
"2/28/2017 7:27:14",2017-02-28,"A1","R1",890,"yes",30
"2/28/2017 19:15:39",2017-02-27,"A2","R2",881,"yes",120
"2/28/2017 19:17:37",2017-02-28,"A2","R2",899,"yes",45
"3/1/2017 6:22:17",2017-03-01,"A1","R1",958,"yes",6
"3/1/2017 6:35:27",2017-03-01,"A1","R1",954,"yes",11
"3/1/2017 6:38:26",2017-03-01,"A1","R1",828,"yes",3
"3/1/2017 6:41:18",2017-03-01,"A1","R1",830,"yes",1
"3/3/2017 19:46:34",2017-03-03,"A2","R2",956,"no",15
"3/6/2017 6:52:27",2017-03-06,"A1","R1",955,"yes",14
"3/6/2017 7:00:42",2017-03-06,"A1","R1",959,"yes",6
"3/6/2017 7:14:40",2017-03-06,"A1","R1",961,"yes",12
"3/6/2017 16:52:26",2017-03-06,"A2","R2",956,"yes",45
"3/10/2017 6:48:11",2017-03-10,"A1","R1",841,"yes",12
"3/13/2017 15:14:16",2017-03-13,"A2","R2",929,"yes",120
"3/13/2017 16:00:20",2017-03-13,"A2","R2",1020,"yes",30
"3/14/2017 11:07:43",2017-03-14,"A1","R1",965,"yes",8
"3/14/2017 13:08:14",2017-03-14,"A2","R2",1023,"yes",60
"3/14/2017 13:09:44",2017-03-13,"A2","R2",964,"yes",60
"3/15/2017 8:58:26",2017-03-15,"A1","R1",965,"yes",40
"3/15/2017 11:12:14",2017-03-15,"A1","R1",923,"yes",5
"3/15/2017 11:33:59",2017-03-15,"A1","R1",901,"yes",21
"3/15/2017 11:58:05",2017-03-15,"A2","R2",1023,"yes",30
"3/15/2017 15:54:15",2017-03-15,"A2","R2",1023,"yes",15
"3/15/2017 15:55:29",2017-03-15,"A2","R2",929,"yes",30
"3/16/2017 7:29:00",2017-03-16,"A1","R1",902,"yes",20
"3/16/2017 7:45:54",2017-03-16,"A1","R1",903,"yes",15
"3/16/2017 9:44:46",2017-03-16,"A1","R1",904,"yes",9
"3/17/2017 17:35:58",2017-03-17,"A2","R2",1033,"yes",15
"3/18/2017 7:17:08",2017-03-18,"A1","R1",994,"yes",8
"3/18/2017 8:12:15",2017-03-18,"A1","R1",1030,"no",44
"3/19/2017 7:19:10",2017-03-19,"A1","R1",1032,"yes",35
"3/20/2017 17:14:25",2017-03-20,"A2","R2",1036,"yes",15
"3/20/2017 17:14:40",2017-03-20,"A2","R2",1037,"yes",15
"3/21/2017 7:27:00",2017-03-21,"A1","R1",1030,"yes",75
"3/22/2017 7:24:59",2017-03-22,"A1","R1",1038,"yes",32
"3/22/2017 10:34:50",2017-03-22,"A1","R1",854,"no",30
"3/22/2017 10:37:45",2017-03-22,"A1","R1",1034,"no",23
"3/23/2017 6:54:55",2017-03-23,"A1","R1",1034,"yes",20
"3/23/2017 10:33:16",2017-03-23,"A1","R1",1045,"yes",50
"3/23/2017 12:59:12",2017-03-23,"A2","R2",1046,"yes",15
"3/24/2017 7:17:50",2017-03-24,"A1","R1",1035,"no",30
"3/24/2017 7:59:14",2017-03-24,"A1","R1",1039,"no",42
"3/25/2017 6:49:45",2017-03-25,"A1","R1",1035,"yes",8
"3/27/2017 16:14:01",2017-03-27,"A2","R2",1047,"yes",30
"3/27/2017 16:14:18",2017-03-27,"A2","R2",1049,"yes",30
"3/28/2017 14:34:53",2017-03-28,"A2","R1",788,"yes",60
"4/4/2017 7:56:06",2017-04-04,"A1","R1",855,"no",42
"4/5/2017 7:08:59",2017-04-05,"A1","R1",855,"yes",16
"4/5/2017 7:38:41",2017-04-05,"A1","R1",864,"no",26
"4/5/2017 7:56:30",2017-04-05,"A1","R1",951,"no",17
"4/6/2017 7:35:54",2017-04-06,"A1","R1",864,"no",63
"4/6/2017 7:46:58",2017-04-06,"A1","R1",750,"yes",5
"4/6/2017 8:06:24",2017-04-06,"A1","R1",850,"yes",15
"4/7/2017 7:06:29",2017-04-07,"A1","R1",864,"yes",22
"4/7/2017 7:08:09",2017-04-07,"A1","R1",1040,"yes",3
"4/7/2017 19:36:10",2017-04-07,"A2","R2",1043,"yes",15
